social_energy,alone_time_preference,talkativeness,deep_reflection,group_comfort,party_liking,leadership,risk_taking,public_speaking_comfort,excitement_seeking,adventurousness,reading_habit
7.753961836609793,1.8858792479246964,10.0,5.669381806331113,10.0,8.085213484376906,6.982639970686324,5.746895158181239,7.666539373700232,8.875235158381482,5.054747654189583,2.588783905531616
7.474740612974788,1.3371431825243811,8.84651530598231,1.2601578906455826,8.49321168780728,8.044753556146928,8.840592984544092,6.831591387080342,7.630771192661498,6.771187036138038,6.579174347422377,3.884987775078898
5.710041733338831,6.873388220932577,6.411526599789796,5.8572647105213935,6.957253787530922,6.465588038278169,6.018593759889795,3.586454399896861,5.688048096404581,4.525091397103754,5.954463935300733,6.168186084398296
3.551794668922208,7.28138421074636,3.71708674050452,8.37028207118586,8.442503412305484,2.775050819751655,5.528607564308532,7.562443249507183,3.599264126764269,4.679660110251223,6.545446227289837,4.963991431816768
5.572288265889744,5.850324816143471,6.660497426258585,5.265560049214664,5.22981784557756,5.821327085570225,7.357261704894275,6.779045921074996,5.828667715126385,5.023214085227629,2.4956457119768527,7.614073795678635
5.655364782662602,4.024446514360564,7.006512320408229,7.779520693799531,8.192364227349428,4.675696795916196,7.682575489996664,4.54953149101667,5.549542501341475,6.381083860490537,4.914925018191624,6.606344326713412
8.211702336117948,2.952480709556814,9.473980236841845,2.824525712854303,8.205055949233024,7.169074191941457,8.460584196656082,7.370970138676729,8.331071217696541,9.147878842035338,6.406948391838465,4.1968253695786055
7.295115500563686,2.921638711289535,8.411276038279581,2.7898372746925792,6.991812424416738,10.0,10.0,10.0,5.077465232272711,4.798795941054252,6.559092161911622,4.1050503185209655
2.1403125544508184,8.099482823815148,2.659171848802641,6.546270144908435,7.94217718214693,6.4149418105574725,5.13852317390961,7.738848485001435,5.780656469322195,6.397497030222628,6.112325025014355,4.91636306493206
2.5442048557783044,6.988908644518439,2.876846114964432,6.623401264417942,4.86191364332098,0.0,6.052874235221432,3.106985019400222,4.153753828377697,3.121075343965568,4.987213128426834,7.305715594445184
6.603809564460096,4.595833412686615,7.36967122836349,1.7450429750748722,7.990360256384952,4.287096775678231,8.556617966280026,6.895930138906737,9.402883412287323,7.619348503493808,4.817068061400983,5.242968944998708
3.641465515914442,7.345046453934116,0.0,6.8290850571618975,2.923102104175856,2.1168638091843848,4.825570649606124,0.6234644031229104,3.6022155514424123,1.4677384775342597,3.9738370602349526,8.726506497615118
5.201426076087317,4.183184968778837,6.536864924770376,6.095877416861122,6.8096382193586384,4.156218561562494,6.11100822564407,4.259295240890877,4.634061342614038,6.090434176845002,5.24792925787778,7.063225108951819
9.969238175778518,1.4437100137940244,10.0,3.900022433456469,4.906488181790872,8.43074206341142,6.9628847429611,6.1828431464951015,8.258338314158653,4.875000460355888,4.453102948322702,5.522659118258611
4.62205600020894,9.234163947822651,5.802122884355129,8.959493002183866,0.0,0.2570208832488694,5.335463256046925,0.6663135263279818,2.0568543643115738,3.231818585198717,3.836942174920816,6.941567319835211
6.273651402346365,4.751682775910351,8.072466000616764,7.917022603627229,4.461951895671902,4.23205447811685,4.338513774086326,4.637771118152808,6.235133397015696,8.054587273084309,2.7093252439259707,3.765520016566744
4.364134944610295,7.010714820007332,2.4340576976347568,9.069043017511504,6.825360307381467,1.744161719491502,2.016623020772536,3.2056073696323515,3.4445809245616608,4.699228740229678,3.4092045940324134,6.611831651409609
4.007899301652136,4.560577878056233,5.516016894097266,6.929593895649491,5.123058226215118,4.6159242233891735,8.365424128366765,4.998526878888215,1.7065615195880142,4.110912142342331,3.2336420716022456,7.427230598959632
2.8937112500393294,8.357654036788004,0.0,8.561837634888482,3.615552201439837,4.503941583495174,2.574120235416481,5.394610891926812,4.326867272258703,2.920503314703396,4.272470569414977,9.602391209441382
4.4465541802131465,6.064887127624751,5.233766742145928,8.369683686452543,4.694643322495551,4.594400279639202,7.9251444407884195,5.508952281264581,9.423348619326026,6.462094480787232,1.5150727998098938,4.790052555087975
2.886644163142562,7.698753156048866,4.309611926858791,8.557425134898669,0.5944884981293788,3.5083884854340504,4.924288845886215,5.563715454774279,3.721945604148309,2.7743295292273205,4.129591769698825,6.745982477527095
